model,baseline,imgsz,precision,recall,mAP50,mAP50-95,fitness
yolo11s_doc_layout_imgsz_1024,False,1024,0.9233485030591776,0.9124559050639572,0.9333665495217928,0.7530499003807434,0.7530499003807434
yolo11_doc_layout_v222_round03_imgsz_1024,False,1024,0.8891425764972342,0.9040019718368987,0.9251076507181738,0.7480444412587379,0.7480444412587379
yolo11_doc_layout_v222_imgsz_1024,False,1024,0.8937373243035726,0.8626965314685018,0.9154787358343582,0.7470904139846385,0.7470904139846385
yolo11s_doc_layout_attempt_02,False,1024,0.8740131861618884,0.8757453603228891,0.9145080982902609,0.7274376927216472,0.7274376927216472
yolo11s_doc_layout_imgsz_1024_attempt_02,False,1024,0.8822697714936433,0.8850810618168229,0.9056206706257347,0.7253009084306015,0.7253009084306015
yolo11_doc_layout_v222_round03,False,640,0.8677200198676314,0.8449669205647369,0.8983206926669726,0.7207521864725617,0.7207521864725617
yolo11_doc_layout_v222_imgsz_1024_attempt_02,False,1024,0.8603723018131678,0.8506004278178727,0.887749200446478,0.7065308740312568,0.7065308740312568
yolo11_doc_layout_v222_round03_attempt_02,False,1024,0.8443917549385694,0.8290272823134354,0.8744798541872988,0.700679186716515,0.700679186716515
yolo11_doc_layout_v222_round03_imgsz_1024_attempt_02,False,1024,0.8584235250759492,0.825586710115159,0.8616762495505816,0.6912258778750883,0.6912258778750883
yolo11_doc_layout_v2224,False,640,0.8237367146758713,0.8079606321371898,0.8509598190640165,0.6520559267337565,0.6520559267337565
yolo11_doc_layout_v22,False,640,0.7121129423438158,0.7122388805866438,0.7320288852334831,0.5330501939180611,0.5330501939180611
yolo11_doc_layout_v222,False,640,0.7121129423438158,0.7122388805866438,0.7320288852334831,0.5330501939180611,0.5330501939180611
yolo11n_doc_layout_baseline,True,640,0.6832660701126628,0.5517785757340705,0.6531698220709694,0.42266053521252755,0.42266053521252755
yolo11s_doc_layout_baseline,True,640,0.6368404359662163,0.5774215975121759,0.6518969399669099,0.42000433625579753,0.42000433625579753
