model,imgsz,params_m,gflops,median_ms,mean_ms,p90_ms,fps,weights_mb
yolo11_doc_layout_v2224_round03,640,2.58,6.4,9.46,9.57,10.55,105.7,5.2
yolo11_doc_layout_v2224,640,2.58,6.4,10.16,10.39,12.27,98.38,5.2
yolo11_doc_layout_v222_round03,640,2.58,6.4,10.21,10.35,12.68,97.9,5.2
yolo11_doc_layout_v222,640,2.58,6.4,10.66,11.39,14.34,93.81,5.2
yolo11_doc_layout_v22,640,2.58,6.4,11.13,11.19,13.19,89.85,5.2
yolo11_doc_layout_v2,640,2.58,6.4,11.44,11.71,13.17,87.41,5.2
yolo11_doc_layout_v222_round03_attempt_02,1024,2.58,16.6,17.9,18.03,19.23,55.86,5.3
yolo11_doc_layout_v222_round03_imgsz_1024,1024,2.58,16.6,18.04,18.4,20.04,55.44,5.3
yolo11_doc_layout_v222_imgsz_1024,1024,2.58,16.6,18.09,18.3,20.25,55.27,5.3
yolo11_doc_layout_v222_round03_imgsz_1024_attempt_02,1024,2.58,16.6,18.13,18.47,20.81,55.15,5.3
yolo11_doc_layout_v222_imgsz_1024_attempt_02,1024,2.58,16.6,18.14,18.41,20.03,55.12,5.3
yolo11_doc_layout_v2224_imgsz_1024,1024,2.58,16.6,18.3,18.43,19.31,54.64,5.3
yolo11_doc_layout_v2_imgsz_1024,1024,2.58,16.6,18.35,18.42,19.72,54.5,5.3
yolo11_doc_layout_v2224_round03_imgsz_1024,1024,2.58,16.6,18.52,18.64,19.8,53.99,5.3
yolo11n_doc_layout_imgsz_1024,1024,2.58,16.6,18.57,18.74,20.34,53.86,5.3
yolo11_doc_layout_v22_imgsz_1024,1024,2.58,16.6,18.71,19.17,20.81,53.45,5.3
yolo11s_doc_layout_attempt_02,1024,9.42,55.4,36.14,36.21,38.09,27.67,18.3
yolo11s_doc_layout_imgsz_1024,1024,9.42,55.4,37.1,36.72,37.99,26.96,18.3
yolo11s_doc_layout_imgsz_1024_attempt_02,1024,9.42,55.4,37.31,37.18,38.79,26.8,18.4
